,iterations,dimacs,runtime,solution
275,50,n_5_m_15,0.018000000000000002,0
276,50,n_5_m_16,0.0187,0
277,50,n_5_m_17,0.018000000000000002,0
278,50,n_5_m_18,0.0177,0
279,50,n_5_m_19,0.0001,"[True,False,False,True,True]"
280,50,n_5_m_20,0.0001,"[True,True,False,False,False]"
281,50,n_5_m_21,0.0177,0
282,50,n_5_m_22,0.0172,0
283,50,n_5_m_23,0.0215,0
284,50,n_5_m_24,0.0185,0
285,50,n_5_m_10,0.0183,"[True,True,True,False,False]"
286,50,n_5_m_11,0.0001,"[True,True,True,False,True]"
287,50,n_5_m_12,0.0185,"[False,True,False,False,False]"
288,50,n_5_m_13,0.0179,0
289,50,n_5_m_14,0.0184,0
290,50,n_5_m_15,0.0176,0
291,50,n_5_m_16,0.0189,0
292,50,n_5_m_17,0.0189,0
293,50,n_5_m_18,0.018000000000000002,0
294,50,n_5_m_19,0.0182,0
295,50,n_5_m_20,0.0172,0
296,50,n_5_m_21,0.0178,0
297,50,n_5_m_22,0.0181,0
298,50,n_5_m_23,0.0182,0
299,50,n_5_m_24,0.0178,0
300,100,n_5_m_10,0.0002,"[False,True,False,False,False]"
301,100,n_5_m_11,0.0199,0
302,100,n_5_m_12,0.0001,"[True,True,False,True,True]"
303,100,n_5_m_13,0.0001,"[True,True,False,True,True]"
304,100,n_5_m_14,0.0001,"[True,True,True,True,False]"
305,100,n_5_m_15,0.0001,"[True,True,False,True,False]"
306,100,n_5_m_16,0.0001,"[False,True,True,False,True]"
307,100,n_5_m_17,0.0183,0
308,100,n_5_m_18,0.0178,0
309,100,n_5_m_19,0.0185,0
310,100,n_5_m_20,0.0182,0
311,100,n_5_m_21,0.0001,"[True,False,True,False,True]"
312,100,n_5_m_22,0.0183,0
313,100,n_5_m_23,0.0173,"[False,True,False,True,False]"
314,100,n_5_m_24,0.0174,0
315,100,n_5_m_10,0.0001,"[False,False,True,True,False]"
316,100,n_5_m_11,0.0001,"[False,False,False,False,True]"
317,100,n_5_m_12,0.0001,"[False,False,False,True,True]"
318,100,n_5_m_13,0.0178,0
319,100,n_5_m_14,0.0001,"[True,False,False,False,False]"
320,100,n_5_m_15,0.0001,"[False,False,True,False,False]"
321,100,n_5_m_16,0.0175,0
322,100,n_5_m_17,0.0194,0
323,100,n_5_m_18,0.0174,0
324,100,n_5_m_19,0.017,"[False,True,True,False,True]"
325,100,n_5_m_20,0.0173,0
326,100,n_5_m_21,0.018000000000000002,0
327,100,n_5_m_22,0.0175,0
328,100,n_5_m_23,0.0171,0
329,100,n_5_m_24,0.0195,0
330,100,n_5_m_10,0.0189,0
331,100,n_5_m_11,0.0174,"[True,False,False,False,True]"
332,100,n_5_m_12,0.0001,"[False,True,False,True,True]"
333,100,n_5_m_13,0.0169,0
334,100,n_5_m_14,0.0172,0
335,100,n_5_m_15,0.0171,0
336,100,n_5_m_16,0.0001,"[True,True,True,True,False]"
337,100,n_5_m_17,0.0186,0
338,100,n_5_m_18,0.0001,"[False,False,True,False,False]"
339,100,n_5_m_19,0.018000000000000002,0
340,100,n_5_m_20,0.0207,0
341,100,n_5_m_21,0.0204,0
342,100,n_5_m_22,0.0174,0
343,100,n_5_m_23,0.0194,0
344,100,n_5_m_24,0.0175,0
345,100,n_5_m_10,0.0173,"[False,True,False,True,True]"
346,100,n_5_m_11,0.017,"[True,True,False,False,True]"
347,100,n_5_m_12,0.0171,0
348,100,n_5_m_13,0.0179,0
349,100,n_5_m_14,0.0166,0
350,100,n_5_m_15,0.0001,"[False,True,False,True,True]"
351,100,n_5_m_16,0.0001,"[True,False,True,True,False]"
352,100,n_5_m_17,0.0001,"[True,False,False,False,True]"
353,100,n_5_m_18,0.0001,"[True,True,True,True,False]"
354,100,n_5_m_19,0.0173,0
355,100,n_5_m_20,0.017,0
356,100,n_5_m_21,0.0172,0
357,100,n_5_m_22,0.0171,0
358,100,n_5_m_23,0.0001,"[True,False,True,False,False]"
359,100,n_5_m_24,0.0172,0
360,100,n_5_m_10,0.0001,"[True,True,True,True,False]"
361,100,n_5_m_11,0.0001,"[False,True,False,False,False]"
362,100,n_5_m_12,0.0172,0
363,100,n_5_m_13,0.0171,"[False,True,True,True,True]"
364,100,n_5_m_14,0.0001,"[True,False,True,False,False]"
365,100,n_5_m_15,0.0171,0
366,100,n_5_m_16,0.0195,0
367,100,n_5_m_17,0.017,0
368,100,n_5_m_18,0.0184,"[True,False,False,True,True]"
369,100,n_5_m_19,0.0001,"[False,True,False,True,True]"
370,100,n_5_m_20,0.0001,"[True,True,False,True,True]"
371,100,n_5_m_21,0.0188,0
372,100,n_5_m_22,0.0177,0
373,100,n_5_m_23,0.0172,0
374,100,n_5_m_24,0.0194,0
375,100,n_5_m_10,0.019,"[True,True,True,False,False]"
376,100,n_5_m_11,0.0001,"[False,True,False,False,True]"
377,100,n_5_m_12,0.0001,"[False,False,True,False,False]"
378,100,n_5_m_13,0.0172,0
379,100,n_5_m_14,0.0172,"[True,True,True,True,True]"
380,100,n_5_m_15,0.0001,"[False,True,False,True,False]"
381,100,n_5_m_16,0.0181,0
382,100,n_5_m_17,0.0001,"[False,False,True,False,True]"
383,100,n_5_m_18,0.0185,0
384,100,n_5_m_19,0.0173,0
385,100,n_5_m_20,0.0183,0
386,100,n_5_m_21,0.0175,0
387,100,n_5_m_22,0.0188,0
388,100,n_5_m_23,0.0001,"[True,False,False,False,False]"
389,100,n_5_m_24,0.0208,0
390,100,n_5_m_10,0.0179,"[False,True,True,True,True]"
391,100,n_5_m_11,0.0001,"[False,True,False,True,True]"
392,100,n_5_m_12,0.0172,0
393,100,n_5_m_13,0.0001,"[False,True,True,False,True]"
394,100,n_5_m_14,0.0001,"[False,False,False,True,False]"
395,100,n_5_m_15,0.0174,0
396,100,n_5_m_16,0.019,0
397,100,n_5_m_17,0.0001,"[False,True,True,False,False]"
398,100,n_5_m_18,0.0177,0
399,100,n_5_m_19,0.0176,0
400,100,n_5_m_20,0.017,0
401,100,n_5_m_21,0.0182,0
402,100,n_5_m_22,0.0172,0
403,100,n_5_m_23,0.018000000000000002,0
404,100,n_5_m_24,0.0175,0
405,100,n_5_m_10,0.017,0
406,100,n_5_m_11,0.0001,"[False,True,False,False,False]"
407,100,n_5_m_12,0.0188,"[True,True,True,True,True]"
408,100,n_5_m_13,0.0001,"[True,True,True,False,False]"
409,100,n_5_m_14,0.0174,0
410,100,n_5_m_15,0.017,"[True,False,False,True,True]"
411,100,n_5_m_16,0.0182,0
412,100,n_5_m_17,0.0001,"[False,True,True,False,False]"
413,100,n_5_m_18,0.0001,"[False,False,False,False,False]"
414,100,n_5_m_19,0.0001,"[False,False,False,True,False]"
415,100,n_5_m_20,0.02,0
416,100,n_5_m_21,0.0193,"[True,False,False,False,False]"
417,100,n_5_m_22,0.0175,0
418,100,n_5_m_23,0.0176,0
419,100,n_5_m_24,0.0185,0
420,100,n_5_m_10,0.0183,"[False,False,True,False,False]"
421,100,n_5_m_11,0.0241,0
422,100,n_5_m_12,0.0184,0
423,100,n_5_m_13,0.0001,"[True,False,True,True,False]"
424,100,n_5_m_14,0.0001,"[True,False,False,False,False]"
425,100,n_5_m_15,0.018000000000000002,0
426,100,n_5_m_16,0.0175,0
427,100,n_5_m_17,0.0171,0
428,100,n_5_m_18,0.0175,0
429,100,n_5_m_19,0.0001,"[True,False,False,True,True]"
430,100,n_5_m_20,0.0001,"[True,True,False,False,False]"
431,100,n_5_m_21,0.0173,0
432,100,n_5_m_22,0.017,0
433,100,n_5_m_23,0.0186,0
434,100,n_5_m_24,0.0174,0
435,100,n_5_m_10,0.018000000000000002,"[True,True,True,False,False]"
436,100,n_5_m_11,0.0001,"[True,True,True,False,True]"
437,100,n_5_m_12,0.0168,0
438,100,n_5_m_13,0.0174,0
439,100,n_5_m_14,0.0177,0
440,100,n_5_m_15,0.0175,0
441,100,n_5_m_16,0.0202,0
442,100,n_5_m_17,0.0175,0
443,100,n_5_m_18,0.0165,0
444,100,n_5_m_19,0.0175,0
445,100,n_5_m_20,0.0183,0
446,100,n_5_m_21,0.0187,0
447,100,n_5_m_22,0.0182,0
448,100,n_5_m_23,0.0182,0
449,100,n_5_m_24,0.0183,0
450,200,n_5_m_10,0.0001,"[False,True,False,False,False]"
451,200,n_5_m_11,0.0191,0
452,200,n_5_m_12,0.0001,"[True,True,False,True,True]"
453,200,n_5_m_13,0.0001,"[True,True,False,True,True]"
454,200,n_5_m_14,0.0001,"[True,True,True,True,False]"
455,200,n_5_m_15,0.0001,"[True,True,False,True,False]"
456,200,n_5_m_16,0.0001,"[False,True,True,False,True]"
457,200,n_5_m_17,0.0175,0
458,200,n_5_m_18,0.0171,0
459,200,n_5_m_19,0.0173,0
460,200,n_5_m_20,0.018000000000000002,0
461,200,n_5_m_21,0.0001,"[True,False,True,False,True]"
462,200,n_5_m_22,0.0179,0
463,200,n_5_m_23,0.018000000000000002,"[False,True,False,True,False]"
464,200,n_5_m_24,0.017,0
465,200,n_5_m_10,0.0001,"[False,False,True,True,False]"
466,200,n_5_m_11,0.0001,"[False,False,False,False,True]"
467,200,n_5_m_12,0.0001,"[False,False,False,True,True]"
468,200,n_5_m_13,0.0172,0
469,200,n_5_m_14,0.0001,"[True,False,False,False,False]"
470,200,n_5_m_15,0.0001,"[False,False,True,False,False]"
471,200,n_5_m_16,0.0175,0
472,200,n_5_m_17,0.0189,0
473,200,n_5_m_18,0.017,0
474,200,n_5_m_19,0.017,"[False,True,True,False,True]"
475,200,n_5_m_20,0.0171,0
476,200,n_5_m_21,0.0179,0
477,200,n_5_m_22,0.0191,0
478,200,n_5_m_23,0.0175,0
479,200,n_5_m_24,0.0192,0
480,200,n_5_m_10,0.0185,0
481,200,n_5_m_11,0.0177,"[True,False,False,False,True]"
482,200,n_5_m_12,0.0001,"[False,True,False,True,True]"
483,200,n_5_m_13,0.0169,0
484,200,n_5_m_14,0.0168,0
485,200,n_5_m_15,0.017,0
486,200,n_5_m_16,0.0001,"[True,True,True,True,False]"
487,200,n_5_m_17,0.0187,0
488,200,n_5_m_18,0.0001,"[False,False,True,False,False]"
489,200,n_5_m_19,0.0179,0
490,200,n_5_m_20,0.0169,0
491,200,n_5_m_21,0.0178,0
492,200,n_5_m_22,0.0169,0
493,200,n_5_m_23,0.0194,0
494,200,n_5_m_24,0.024,0
495,200,n_5_m_10,0.0168,"[False,True,False,True,True]"
496,200,n_5_m_11,0.0169,"[True,True,False,False,True]"
497,200,n_5_m_12,0.0172,0
498,200,n_5_m_13,0.0175,0
499,200,n_5_m_14,0.0166,0
500,200,n_5_m_15,0.0001,"[False,True,False,True,True]"
501,200,n_5_m_16,0.0001,"[True,False,True,True,False]"
502,200,n_5_m_17,0.0001,"[True,False,False,False,True]"
503,200,n_5_m_18,0.0001,"[True,True,True,True,False]"
504,200,n_5_m_19,0.0172,0
505,200,n_5_m_20,0.0168,0
506,200,n_5_m_21,0.0172,0
507,200,n_5_m_22,0.0172,0
508,200,n_5_m_23,0.0001,"[True,False,True,False,False]"
509,200,n_5_m_24,0.017,0
510,200,n_5_m_10,0.0001,"[True,True,True,True,False]"
511,200,n_5_m_11,0.0001,"[False,True,False,False,False]"
512,200,n_5_m_12,0.017,0
513,200,n_5_m_13,0.0173,"[False,True,True,True,True]"
514,200,n_5_m_14,0.0001,"[True,False,True,False,False]"
515,200,n_5_m_15,0.0168,0
516,200,n_5_m_16,0.0192,0
517,200,n_5_m_17,0.0168,0
518,200,n_5_m_18,0.017,"[True,False,False,True,True]"
519,200,n_5_m_19,0.0001,"[False,True,False,True,True]"
520,200,n_5_m_20,0.0001,"[True,True,False,True,True]"
521,200,n_5_m_21,0.0183,0
522,200,n_5_m_22,0.0176,0
523,200,n_5_m_23,0.0174,0
524,200,n_5_m_24,0.0183,0
525,200,n_5_m_10,0.0188,"[True,True,True,False,False]"
526,200,n_5_m_11,0.0001,"[False,True,False,False,True]"
527,200,n_5_m_12,0.0001,"[False,False,True,False,False]"
528,200,n_5_m_13,0.0168,0
529,200,n_5_m_14,0.0172,"[True,True,True,True,True]"
530,200,n_5_m_15,0.0001,"[False,True,False,True,False]"
531,200,n_5_m_16,0.0179,0
532,200,n_5_m_17,0.0001,"[False,False,True,False,True]"
533,200,n_5_m_18,0.0188,0
534,200,n_5_m_19,0.0169,0
535,200,n_5_m_20,0.0185,0
536,200,n_5_m_21,0.0177,0
537,200,n_5_m_22,0.0174,0
538,200,n_5_m_23,0.0001,"[True,False,False,False,False]"
539,200,n_5_m_24,0.0195,0
540,200,n_5_m_10,0.0185,"[False,True,True,True,True]"
541,200,n_5_m_11,0.0001,"[False,True,False,True,True]"
542,200,n_5_m_12,0.0175,0
543,200,n_5_m_13,0.0001,"[False,True,True,False,True]"
544,200,n_5_m_14,0.0001,"[False,False,False,True,False]"
545,200,n_5_m_15,0.0175,0
546,200,n_5_m_16,0.0192,0
547,200,n_5_m_17,0.0001,"[False,True,True,False,False]"
548,200,n_5_m_18,0.017,0
549,200,n_5_m_19,0.0178,0
550,200,n_5_m_20,0.0172,0
551,200,n_5_m_21,0.018000000000000002,0
552,200,n_5_m_22,0.017,0
553,200,n_5_m_23,0.0186,0
554,200,n_5_m_24,0.0176,0
555,200,n_5_m_10,0.0172,0
556,200,n_5_m_11,0.0001,"[False,True,False,False,False]"
557,200,n_5_m_12,0.0186,"[True,True,True,True,True]"
558,200,n_5_m_13,0.0001,"[True,True,True,False,False]"
559,200,n_5_m_14,0.017,0
560,200,n_5_m_15,0.0171,"[True,False,False,True,True]"
561,200,n_5_m_16,0.0177,0
562,200,n_5_m_17,0.0001,"[False,True,True,False,False]"
563,200,n_5_m_18,0.0001,"[False,False,False,False,False]"
564,200,n_5_m_19,0.0001,"[False,False,False,True,False]"
565,200,n_5_m_20,0.0185,0
566,200,n_5_m_21,0.0177,"[True,False,False,False,False]"
567,200,n_5_m_22,0.0174,0
568,200,n_5_m_23,0.017,0
569,200,n_5_m_24,0.018000000000000002,0
570,200,n_5_m_10,0.0181,"[False,False,False,False,False]"
571,200,n_5_m_11,0.0175,0
572,200,n_5_m_12,0.0176,0
573,200,n_5_m_13,0.0001,"[True,False,True,True,False]"
574,200,n_5_m_14,0.0001,"[True,False,False,False,False]"
575,200,n_5_m_15,0.0178,0
576,200,n_5_m_16,0.0177,0
577,200,n_5_m_17,0.0236,0
578,200,n_5_m_18,0.0177,0
579,200,n_5_m_19,0.0001,"[True,False,False,True,True]"
580,200,n_5_m_20,0.0001,"[True,True,False,False,False]"
581,200,n_5_m_21,0.0174,0
582,200,n_5_m_22,0.0171,0
583,200,n_5_m_23,0.0188,0
584,200,n_5_m_24,0.0176,0
