,iterations,dimacs,runtime,solution,minisat_satisfiability,minisat_solution
186,50,n_5_m_16,0.0001,"[True,True,True,True,False]", SATISFIABLE,v -1 2 3 -4 -5 0
187,50,n_5_m_17,0.019,0, SATISFIABLE,v -1 2 3 -4 5 0
188,50,n_5_m_18,0.0001,"[False,False,True,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
189,50,n_5_m_19,0.0177,0, SATISFIABLE,v -1 2 3 4 -5 0
190,50,n_5_m_20,0.0176,0, SATISFIABLE,v -1 -2 -3 -4 -5 0
191,50,n_5_m_21,0.0182,0, UNSATISFIABLE,0
192,50,n_5_m_22,0.0179,0, UNSATISFIABLE,0
193,50,n_5_m_23,0.0202,0, UNSATISFIABLE,0
194,50,n_5_m_24,0.0177,0, SATISFIABLE,v -1 2 3 -4 -5 0
195,50,n_5_m_10,0.0174,"[False,True,False,True,True]", SATISFIABLE,v -1 2 -3 -4 -5 0
196,50,n_5_m_11,0.0167,"[True,True,False,False,True]", SATISFIABLE,v -1 -2 -3 -4 5 0
197,50,n_5_m_12,0.0185,0, SATISFIABLE,v -1 2 -3 4 -5 0
198,50,n_5_m_13,0.0177,0, SATISFIABLE,v -1 -2 3 -4 -5 0
199,50,n_5_m_14,0.0178,0, SATISFIABLE,v -1 2 3 4 5 0
200,50,n_5_m_15,0.0001,"[False,True,False,True,True]", SATISFIABLE,v -1 2 -3 -4 5 0
201,50,n_5_m_16,0.0001,"[True,False,True,True,False]", SATISFIABLE,v -1 2 3 4 -5 0
202,50,n_5_m_17,0.0001,"[True,False,True,False,True]", SATISFIABLE,v 1 -2 -3 -4 5 0
203,50,n_5_m_18,0.0001,"[True,True,True,True,False]", SATISFIABLE,v 1 2 3 4 -5 0
204,50,n_5_m_19,0.0173,0, UNSATISFIABLE,0
205,50,n_5_m_20,0.0177,0, SATISFIABLE,v -1 2 3 4 5 0
206,50,n_5_m_21,0.0174,0, SATISFIABLE,v -1 2 -3 -4 5 0
207,50,n_5_m_22,0.0179,0, UNSATISFIABLE,0
208,50,n_5_m_23,0.0001,"[True,False,True,False,False]", SATISFIABLE,v 1 -2 3 -4 -5 0
209,50,n_5_m_24,0.017,0, UNSATISFIABLE,0
210,50,n_5_m_10,0.018,0, SATISFIABLE,v -1 -2 3 -4 -5 0
211,50,n_5_m_11,0.0001,"[False,True,False,False,False]", SATISFIABLE,v -1 2 -3 -4 -5 0
212,50,n_5_m_12,0.0174,0, SATISFIABLE,v -1 2 3 4 -5 0
213,50,n_5_m_13,0.0177,"[False,True,True,True,True]", SATISFIABLE,v -1 2 -3 4 -5 0
214,50,n_5_m_14,0.0001,"[True,False,True,False,False]", SATISFIABLE,v -1 -2 3 -4 -5 0
215,50,n_5_m_15,0.018,0, SATISFIABLE,v -1 2 -3 -4 -5 0
216,50,n_5_m_16,0.0197,0, SATISFIABLE,v -1 2 -3 4 -5 0
217,50,n_5_m_17,0.0171,0, SATISFIABLE,v -1 2 -3 -4 -5 0
218,50,n_5_m_18,0.0172,"[True,False,False,True,True]", SATISFIABLE,v 1 -2 -3 4 5 0
219,50,n_5_m_19,0.0001,"[False,True,False,True,True]", SATISFIABLE,v -1 2 -3 4 -5 0
220,50,n_5_m_20,0.0001,"[True,True,False,True,True]", SATISFIABLE,v -1 2 -3 4 -5 0
221,50,n_5_m_21,0.0184,0, SATISFIABLE,v -1 2 3 -4 -5 0
222,50,n_5_m_22,0.0174,0, SATISFIABLE,v -1 -2 3 4 -5 0
223,50,n_5_m_23,0.0176,0, SATISFIABLE,v -1 2 -3 4 5 0
224,50,n_5_m_24,0.0185,0, UNSATISFIABLE,0
225,50,n_5_m_10,0.0192,"[True,True,True,False,False]", SATISFIABLE,v -1 2 3 -4 -5 0
226,50,n_5_m_11,0.0001,"[False,True,False,False,True]", SATISFIABLE,v -1 2 -3 -4 5 0
227,50,n_5_m_12,0.0001,"[False,False,True,False,False]", SATISFIABLE,v -1 -2 3 -4 -5 0
228,50,n_5_m_13,0.0177,0, SATISFIABLE,v -1 2 3 -4 -5 0
229,50,n_5_m_14,0.0177,"[True,True,True,True,True]", SATISFIABLE,v -1 2 -3 -4 5 0
230,50,n_5_m_15,0.0002,"[False,True,False,True,False]", SATISFIABLE,v -1 2 -3 -4 -5 0
231,50,n_5_m_16,0.0194,0, SATISFIABLE,v -1 -2 3 -4 -5 0
232,50,n_5_m_17,0.0001,"[False,False,True,False,True]", SATISFIABLE,v -1 -2 3 -4 5 0
233,50,n_5_m_18,0.0178,0, SATISFIABLE,v -1 -2 3 4 5 0
234,50,n_5_m_19,0.0174,0, SATISFIABLE,v -1 2 3 4 5 0
235,50,n_5_m_20,0.0211,0, SATISFIABLE,v -1 2 3 4 5 0
236,50,n_5_m_21,0.0188,0, UNSATISFIABLE,0
237,50,n_5_m_22,0.0178,0, UNSATISFIABLE,0
238,50,n_5_m_23,0.0001,"[True,False,False,False,False]", SATISFIABLE,v 1 -2 -3 4 -5 0
239,50,n_5_m_24,0.0199,0, SATISFIABLE,v -1 -2 3 4 -5 0
240,50,n_5_m_10,0.019,"[False,True,True,True,True]", SATISFIABLE,v -1 -2 3 -4 -5 0
241,50,n_5_m_11,0.0001,"[False,True,False,True,True]", SATISFIABLE,v -1 2 3 4 5 0
242,50,n_5_m_12,0.0175,0, SATISFIABLE,v -1 2 -3 -4 -5 0
243,50,n_5_m_13,0.0001,"[False,True,True,False,True]", SATISFIABLE,v -1 2 3 -4 5 0
244,50,n_5_m_14,0.0001,"[False,False,False,True,False]", SATISFIABLE,v -1 2 3 4 -5 0
245,50,n_5_m_15,0.0181,0, SATISFIABLE,v -1 -2 -3 -4 -5 0
246,50,n_5_m_16,0.0196,0, SATISFIABLE,v -1 2 -3 -4 -5 0
247,50,n_5_m_17,0.0001,"[False,True,True,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
248,50,n_5_m_18,0.0177,0, SATISFIABLE,v -1 2 -3 4 -5 0
249,50,n_5_m_19,0.0243,0, SATISFIABLE,v 1 2 3 -4 -5 0
250,50,n_5_m_20,0.018,0, SATISFIABLE,v 1 -2 -3 -4 5 0
251,50,n_5_m_21,0.0178,0, SATISFIABLE,v -1 -2 -3 4 -5 0
252,50,n_5_m_22,0.017,0, UNSATISFIABLE,0
253,50,n_5_m_23,0.0179,0, SATISFIABLE,v 1 2 -3 4 -5 0
254,50,n_5_m_24,0.0175,0, UNSATISFIABLE,0
255,50,n_5_m_10,0.0169,0, SATISFIABLE,v -1 2 -3 4 5 0
256,50,n_5_m_11,0.0001,"[False,True,False,False,False]", SATISFIABLE,v -1 2 -3 -4 -5 0
257,50,n_5_m_12,0.0187,"[True,True,True,True,True]", SATISFIABLE,v -1 -2 3 4 5 0
258,50,n_5_m_13,0.0001,"[True,True,True,False,False]", SATISFIABLE,v -1 2 -3 -4 -5 0
259,50,n_5_m_14,0.0173,0, UNSATISFIABLE,0
260,50,n_5_m_15,0.0168,"[True,False,False,True,True]", SATISFIABLE,v -1 -2 -3 -4 -5 0
261,50,n_5_m_16,0.0176,0, SATISFIABLE,v -1 2 -3 4 -5 0
262,50,n_5_m_17,0.0001,"[False,True,True,False,False]", SATISFIABLE,v -1 2 3 -4 -5 0
263,50,n_5_m_18,0.0001,"[False,False,False,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
264,50,n_5_m_19,0.0001,"[False,False,False,True,False]", SATISFIABLE,v -1 2 3 4 -5 0
265,50,n_5_m_20,0.0189,0, SATISFIABLE,v 1 -2 -3 4 5 0
266,50,n_5_m_21,0.0187,"[True,False,False,False,False]", SATISFIABLE,v 1 -2 -3 -4 -5 0
267,50,n_5_m_22,0.0189,0, UNSATISFIABLE,0
268,50,n_5_m_23,0.0182,0, SATISFIABLE,v -1 -2 -3 -4 5 0
269,50,n_5_m_24,0.0184,0, UNSATISFIABLE,0
270,50,n_5_m_10,0.0193,"[False,False,True,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
271,50,n_5_m_11,0.0194,0, SATISFIABLE,v -1 -2 3 4 -5 0
272,50,n_5_m_12,0.0179,0, SATISFIABLE,v -1 2 3 -4 -5 0
273,50,n_5_m_13,0.0001,"[True,False,True,True,False]", SATISFIABLE,v -1 -2 -3 4 -5 0
274,50,n_5_m_14,0.0001,"[True,False,False,False,False]", SATISFIABLE,v 1 -2 -3 -4 -5 0
275,50,n_5_m_15,0.018,0, SATISFIABLE,v -1 -2 -3 4 -5 0
276,50,n_5_m_16,0.0187,0, SATISFIABLE,v -1 -2 3 -4 -5 0
277,50,n_5_m_17,0.018,0, SATISFIABLE,v 1 -2 3 4 5 0
278,50,n_5_m_18,0.0177,0, SATISFIABLE,v -1 2 3 -4 -5 0
279,50,n_5_m_19,0.0001,"[True,False,False,True,True]", SATISFIABLE,v 1 -2 -3 4 5 0
280,50,n_5_m_20,0.0001,"[True,True,False,False,False]", SATISFIABLE,v 1 2 -3 -4 -5 0
281,50,n_5_m_21,0.0177,0, SATISFIABLE,v 1 -2 -3 -4 -5 0
282,50,n_5_m_22,0.0172,0, UNSATISFIABLE,0
283,50,n_5_m_23,0.0215,0, UNSATISFIABLE,0
284,50,n_5_m_24,0.0185,0, SATISFIABLE,v -1 2 -3 4 5 0
285,50,n_5_m_10,0.0183,"[True,True,True,False,False]", SATISFIABLE,v -1 2 3 4 -5 0
286,50,n_5_m_11,0.0001,"[True,True,True,False,True]", SATISFIABLE,v -1 2 3 -4 -5 0
287,50,n_5_m_12,0.0185,"[False,True,False,False,False]", SATISFIABLE,v -1 2 -3 -4 -5 0
288,50,n_5_m_13,0.0179,0, SATISFIABLE,v -1 2 -3 4 5 0
289,50,n_5_m_14,0.0184,0, SATISFIABLE,v -1 -2 3 4 -5 0
290,50,n_5_m_15,0.0176,0, SATISFIABLE,v -1 2 -3 4 -5 0
291,50,n_5_m_16,0.0189,0, SATISFIABLE,v -1 -2 3 4 -5 0
292,50,n_5_m_17,0.0189,0, SATISFIABLE,v -1 2 -3 -4 -5 0
293,50,n_5_m_18,0.018,0, SATISFIABLE,v -1 -2 -3 -4 -5 0
294,50,n_5_m_19,0.0182,0, SATISFIABLE,v 1 2 -3 4 5 0
295,50,n_5_m_20,0.0172,0, UNSATISFIABLE,0
