iterations,dimacs,runtime,solution,,,,
50,[1_k_3_n_5_m_23.dimacs],0.0173,None,,,,
50,[1_k_3_n_5_m_24.dimacs],0.0208,None,,,,
50,[2_k_3_n_5_m_10.dimacs],0.0185,None,,,,
50,[2_k_3_n_5_m_11.dimacs],0.0178,"[True,","False,","False,","False,",True]
50,[2_k_3_n_5_m_12.dimacs],0.0182,None,,,,
50,[2_k_3_n_5_m_13.dimacs],0.0174,None,,,,
50,[2_k_3_n_5_m_14.dimacs],0.0172,None,,,,
50,[2_k_3_n_5_m_15.dimacs],0.0174,None,,,,
50,[2_k_3_n_5_m_16.dimacs],0.0001,"[True,","True,","True,","True,",False]
50,[2_k_3_n_5_m_17.dimacs],0.019,None,,,,
50,[2_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","True,","False,",False]
50,[2_k_3_n_5_m_19.dimacs],0.0177,None,,,,
50,[2_k_3_n_5_m_20.dimacs],0.0176,None,,,,
50,[2_k_3_n_5_m_21.dimacs],0.0182,None,,,,
50,[2_k_3_n_5_m_22.dimacs],0.0179,None,,,,
50,[2_k_3_n_5_m_23.dimacs],0.0202,None,,,,
50,[2_k_3_n_5_m_24.dimacs],0.0177,None,,,,
50,[3_k_3_n_5_m_10.dimacs],0.0174,"[False,","True,","False,","True,",True]
50,[3_k_3_n_5_m_11.dimacs],0.0167,"[True,","True,","False,","False,",True]
50,[3_k_3_n_5_m_12.dimacs],0.0185,None,,,,
50,[3_k_3_n_5_m_13.dimacs],0.0177,None,,,,
50,[3_k_3_n_5_m_14.dimacs],0.0178,None,,,,
50,[3_k_3_n_5_m_15.dimacs],0.0001,"[False,","True,","False,","True,",True]
50,[3_k_3_n_5_m_16.dimacs],0.0001,"[True,","False,","True,","True,",False]
50,[3_k_3_n_5_m_17.dimacs],0.0001,"[True,","False,","True,","False,",True]
50,[3_k_3_n_5_m_18.dimacs],0.0001,"[True,","True,","True,","True,",False]
50,[3_k_3_n_5_m_19.dimacs],0.0173,None,,,,
50,[3_k_3_n_5_m_20.dimacs],0.0177,None,,,,
50,[3_k_3_n_5_m_21.dimacs],0.0174,None,,,,
50,[3_k_3_n_5_m_22.dimacs],0.0179,None,,,,
50,[3_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","True,","False,",False]
50,[3_k_3_n_5_m_24.dimacs],0.017,None,,,,
50,[4_k_3_n_5_m_10.dimacs],0.018,None,,,,
50,[4_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",False]
50,[4_k_3_n_5_m_12.dimacs],0.0174,None,,,,
50,[4_k_3_n_5_m_13.dimacs],0.0177,"[False,","True,","True,","True,",True]
50,[4_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","True,","False,",False]
50,[4_k_3_n_5_m_15.dimacs],0.018,None,,,,
50,[4_k_3_n_5_m_16.dimacs],0.0197,None,,,,
50,[4_k_3_n_5_m_17.dimacs],0.0171,None,,,,
50,[4_k_3_n_5_m_18.dimacs],0.0172,"[True,","False,","False,","True,",True]
50,[4_k_3_n_5_m_19.dimacs],0.0001,"[False,","True,","False,","True,",True]
50,[4_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","True,",True]
50,[4_k_3_n_5_m_21.dimacs],0.0184,None,,,,
50,[4_k_3_n_5_m_22.dimacs],0.0174,None,,,,
50,[4_k_3_n_5_m_23.dimacs],0.0176,None,,,,
50,[4_k_3_n_5_m_24.dimacs],0.0185,None,,,,
50,[5_k_3_n_5_m_10.dimacs],0.0192,"[True,","True,","True,","False,",False]
50,[5_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",True]
50,[5_k_3_n_5_m_12.dimacs],0.0001,"[False,","False,","True,","False,",False]
50,[5_k_3_n_5_m_13.dimacs],0.0177,None,,,,
50,[5_k_3_n_5_m_14.dimacs],0.0177,"[True,","True,","True,","True,",True]
